Metric ID,Fundamental,Category,Metric Order
3281,Demographics and communities,Population,1
3282,Demographics and communities,Age,1
3283,Demographics and communities,Age,2
3284,Demographics and communities,Age,3
3285,Demographics and communities,Age,4
3286,Demographics and communities,Age,5
3287,Demographics and communities,Age,6
3288,Demographics and communities,Age,7
3289,Demographics and communities,Age,8
3290,Demographics and communities,Age,9
3291,Demographics and communities,Age,10
3292,Demographics and communities,Age,11
3293,Demographics and communities,Age,12
5148,Demographics and communities,Age,13
5149,Demographics and communities,Age,14
5150,Demographics and communities,Age,15
5151,Demographics and communities,Age,16
5152,Demographics and communities,Age,17
5153,Demographics and communities,Age,18
5154,Demographics and communities,Age,19
5155,Demographics and communities,Age,20
5156,Demographics and communities,Age,21
6006,Demographics and communities,Age,22
6007,Demographics and communities,Age,23
6079,Demographics and communities,Age,24
2123,Demographics and communities,Ethnicity,1
2124,Demographics and communities,Ethnicity,2
2125,Demographics and communities,Ethnicity,3
2126,Demographics and communities,Ethnicity,4
2127,Demographics and communities,Ethnicity,5
1842,Demographics and communities,Ethnicity,6
1844,Demographics and communities,Ethnicity,7
1846,Demographics and communities,Ethnicity,8
1848,Demographics and communities,Ethnicity,9
1850,Demographics and communities,Ethnicity,10
1852,Demographics and communities,Ethnicity,11
1854,Demographics and communities,Ethnicity,12
1856,Demographics and communities,Ethnicity,13
1858,Demographics and communities,Ethnicity,14
1860,Demographics and communities,Ethnicity,15
1862,Demographics and communities,Ethnicity,16
1864,Demographics and communities,Ethnicity,17
1866,Demographics and communities,Ethnicity,18
1868,Demographics and communities,Ethnicity,19
1870,Demographics and communities,Ethnicity,20
1872,Demographics and communities,Ethnicity,21
1874,Demographics and communities,Ethnicity,22
1876,Demographics and communities,Ethnicity,23
13696,Demographics and communities,Gender,1
13697,Demographics and communities,Gender,2
18478,Demographics and communities,Gender,3
18479,Demographics and communities,Gender,4
18480,Demographics and communities,Gender,5
811,Demographics and communities,Gender,6
812,Demographics and communities,Gender,7
813,Demographics and communities,Gender,8
814,Demographics and communities,Gender,9
815,Demographics and communities,Gender,10
816,Demographics and communities,Gender,11
817,Demographics and communities,Gender,12
818,Demographics and communities,Gender,13
819,Demographics and communities,Gender,14
820,Demographics and communities,Gender,15
821,Demographics and communities,Gender,16
822,Demographics and communities,Gender,17
823,Demographics and communities,Gender,18
824,Demographics and communities,Gender,19
825,Demographics and communities,Gender,20
826,Demographics and communities,Gender,21
827,Demographics and communities,Gender,22
828,Demographics and communities,Gender,23
829,Demographics and communities,Gender,24
1361,Demographics and communities,Religion,1
1362,Demographics and communities,Religion,2
1363,Demographics and communities,Religion,3
1364,Demographics and communities,Religion,4
1365,Demographics and communities,Religion,5
1366,Demographics and communities,Religion,6
1367,Demographics and communities,Religion,7
1685,Demographics and communities,Religion,8
1686,Demographics and communities,Religion,9
1687,Demographics and communities,Religion,10
1688,Demographics and communities,Religion,11
1689,Demographics and communities,Religion,12
1690,Demographics and communities,Religion,13
1691,Demographics and communities,Religion,14
1978,Demographics and communities,Religion,15
1979,Demographics and communities,Religion,16
3902,Equality,Indices of multiple deprivation,1
3903,Equality,Indices of multiple deprivation,2
3904,Equality,Indices of multiple deprivation,3
3905,Equality,Indices of multiple deprivation,4
3906,Equality,Indices of multiple deprivation,5
3907,Equality,Indices of multiple deprivation,6
3908,Equality,Indices of multiple deprivation,7
